1,1,Villanova,Big East
2,1,Gonzaga,WCC
3,1,Kansas,Big 12
4,1,North Carolina,ACC
5,2,Kentucky,SEC
6,2,Duke,ACC
7,2,Arizona,Pac-12
8,2,Louisville,ACC
9,3,Baylor,Big 12
10,3,UCLA,Pac-12
11,3,Oregon,Pac-12
12,3,Florida St,ACC
13,4,West Virginia,Big 12
14,4,Florida,SEC
15,4,Purdue,Big Ten
16,4,Butler,Big East
17,5,Notre Dame,ACC
18,5,Iowa St,Big 12
19,5,Virginia,ACC
20,5,Minnesota,Big Ten
21,6,SMU,AAC
22,6,Cincinnati,AAC
23,6,Creighton,Big East
24,6,Maryland,Big Ten
25,7,St Mary's CA,WCC
26,7,Michigan,Big Ten
27,7,South Carolina,SEC
28,7,Dayton,A10
29,8,Wisconsin,Big Ten
30,8,Miami FL,ACC
31,8,Arkansas,SEC
32,8,Northwestern,Big Ten
33,9,Virginia Tech,ACC
34,9,Seton Hall,Big East
35,9,Vanderbilt,SEC
36,9,Michigan St,Big Ten
37,10,Wichita St,MVC
38,10,Oklahoma St,Big 12
39,10,VA Commonwealth,A10
40,10,Marquette,Big East
41,11,Xavier,Big East
42,11,Rhode Island,A10
43,11,Wake Forest,ACC
44,11,USC,Pac-12
45,11,Kansas St,Big 12
46,11,Providence,Big East
47,12,MTSU,C-USA
48,12,UNC Wilmington,CAA
49,12,Nevada,MW
50,12,Vermont,AE
51,13,Princeton,Ivy
52,13,ETSU,Southern
53,13,New Mexico St,WAC
54,13,Bucknell,Patriot
55,14,Winthrop,Big South
56,14,FL Gulf Coast,Atl Sun
57,14,Iona,MAAC
58,14,N Kentucky,Horizon
59,15,Kent,MAC
60,15,North Dakota,Big Sky
61,15,TX Southern,SWAC
62,15,Troy,Sun Belt
63,16,NC Central,MEAC
64,16,Jacksonville St,OVC
65,16,New Orleans,Southland
66,16,UC Davis,Big West
67,16,S Dakota St,Summit
68,16,Mt St Mary's,NEC
